PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID
GEM.PIVContainer.AccessMode;30000077;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.ArmNumber;30010022;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;10022
GEM.PIVContainer.CardBufferIndex;30000075;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.CardLPAccessMode;30000044;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.CardLPState;30000064;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.CardSiteLocation;30000060;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.CarrierID;30005002;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;5002
GEM.PIVContainer.CleaningTouchDownCount;30001063;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1063
GEM.PIVContainer.CurTemperature;30030851;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;30851
GEM.PIVContainer.DevDownResult;30001037;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1037
GEM.PIVContainer.FailDieCount;30000040;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.FirstDieX;30000002;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.FirstDieY;30000003;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.FoupNumber;30005001;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;5001
GEM.PIVContainer.FoupShiftMode;30000004;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.FoupState;30001036;FoupState;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1036
GEM.PIVContainer.FullSite;30001605;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1605
GEM.PIVContainer.ListOfSlot;30005004;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;5004
