PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID
GEM.PIVContainer.ArmNumber;30000008;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.CarrierID;30005002;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;5002
GEM.PIVContainer.CleaningTouchDownCount;30001063;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1063
GEM.PIVContainer.CurTemperature;30030851;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;30851
GEM.PIVContainer.DevDownResult;30001037;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1037
GEM.PIVContainer.FirstDieX;30000002;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.FirstDieY;30000003;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.FoupNumber;30005001;FoupNumber;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1035
GEM.PIVContainer.FoupState;30001036;FoupState;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1036
GEM.PIVContainer.FullSite;30000005;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.ListOfSlot;30005004;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1141
GEM.PIVContainer.ListOfStages;30001140;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1140
GEM.PIVContainer.LoadFoupNumber;30005003;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1035
GEM.PIVContainer.LotID;30001120;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1520
GEM.PIVContainer.PreAlignNumber;30000006;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
GEM.PIVContainer.PreHeatState;30001241;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1241
