PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID
AirBlowChuckCleaningModule.AirBlowDeviceFile.AirBlowCleaningEnable;1;? ?? ??? ??? ?? ??/??;???;;125;;0;0;0;0;?? ??? ??? ??? ? ? ? ????? (ON/OFF);0
AirBlowChuckCleaningModule.AirBlowDeviceFile.AirBlowTempControlEnable;2;AirBlowTempControlEnable;UNKNOWN;;;;0;0;0;0;AirBlowTempControlEnable;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.CheckTempInjuryTimeOfSeconds;3;CheckTempInjuryTimeOfSeconds;???;;;mSec;0;0;0;0;?? ??;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.CheckTempTimeofSeconds;4;CheckTempTimeofSeconds;UNKNOWN;;;;0;0;0;0;CheckTempTimeofSeconds;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.ChuckCleaningAfterLoading;5;ChuckCleaningAfterLoading;UNKNOWN;;;;0;0;0;0;ChuckCleaningAfterLoading;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.ChuckCleaningAfterUnLoading;6;ChuckCleaningAfterUnLoading;UNKNOWN;;;;0;0;0;0;ChuckCleaningAfterUnLoading;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.ChuckCleaningBeforeLoading;7;ChuckCleaningBeforeLoading;UNKNOWN;;;;0;0;0;0;ChuckCleaningBeforeLoading;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.ChuckCleaningBeforeUnLoading;8;ChuckCleaningBeforeUnLoading;UNKNOWN;;;;0;0;0;0;ChuckCleaningBeforeUnLoading;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.CleaningCount;9;?? ??? ??? ?? ?? ??;???;;125;Frequency;1;100;0;0;?? ???? ???? ??? ??? ??? ? ??? ?? ???? ?? ??? ?????.;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.CleaningTime;10;CleaningTime;???;;20700;;0;0;0;0;??? ??? ???? ???? ?? ??;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.TargetTemp;11;TargetTemp;???;;20700;;0;0;0;0;??? ??? ???? ???? ?? ??;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.TempOffsetLimit;12;TempOffsetLimit;???;;20700;;0;0;0;0;??? ??? ???? ???? ?? ??;0
AirBlowTempControlModule.AirBlowDeviceFile.AirBlowCleaningEnable;13;AirBlowCleaningEnable;???;;20700;;0;0;0;0;??;0
AirBlowTempControlModule.AirBlowDeviceFile.AirBlowTempControlEnable;14;AirBlowTempControlEnable;???;;20700;;0;0;0;0;??;0
AirBlowTempControlModule.AirBlowDeviceFile.CheckTempInjuryTimeOfSeconds;15;CheckTempInjuryTimeOfSeconds;???;;20700;;0;0;0;0;??;0
AirBlowTempControlModule.AirBlowDeviceFile.CheckTempTimeofSeconds;16;CheckTempTimeofSeconds;???;;20700;;0;0;0;0;??;0
AirBlowTempControlModule.AirBlowDeviceFile.ChuckCleaningAfterLoading;17;ChuckCleaningAfterLoading;???;;20700;;0;0;0;0;??;0
AirBlowTempControlModule.AirBlowDeviceFile.ChuckCleaningAfterUnLoading;18;ChuckCleaningAfterUnLoading;???;;20700;;0;0;0;0;??;0
AirBlowTempControlModule.AirBlowDeviceFile.ChuckCleaningBeforeLoading;19;ChuckCleaningBeforeLoading;???;;20700;;0;0;0;0;??;0
AirBlowTempControlModule.AirBlowDeviceFile.ChuckCleaningBeforeUnLoading;20;ChuckCleaningBeforeUnLoading;???;;20700;;0;0;0;0;??;0
AirBlowTempControlModule.AirBlowDeviceFile.CleaningCount;21;CleaningCount;???;;20700;;0;0;0;0;??;0
AirBlowTempControlModule.AirBlowDeviceFile.CleaningTime;22;CleaningTime;???;;20700;;0;0;0;0;??;0
AirBlowTempControlModule.AirBlowDeviceFile.TargetTemp;23;TargetTemp;???;;20701;;0;0;0;0;??;0
AirBlowTempControlModule.AirBlowDeviceFile.TempOffsetLimit;24;TempOffsetLimit;???;;20701;;0;0;0;0;??;0
AirBlowWaferCleaningModule.AirBlowDeviceFile.AirBlowCleaningEnable;25;AirBlowCleaningEnable;???;;20701;;0;0;0;0;??;0
AirBlowWaferCleaningModule.AirBlowDeviceFile.AirBlowTempControlEnable;26;AirBlowTempControlEnable;???;;20701;;0;0;0;0;??;0
AirBlowWaferCleaningModule.AirBlowDeviceFile.CheckTempInjuryTimeOfSeconds;27;CheckTempInjuryTimeOfSeconds;???;;20701;;0;0;0;0;??;0
AirBlowWaferCleaningModule.AirBlowDeviceFile.CheckTempTimeofSeconds;28;CheckTempTimeofSeconds;???;;20701;;0;0;0;0;??;0
AirBlowWaferCleaningModule.AirBlowDeviceFile.ChuckCleaningAfterLoading;29;ChuckCleaningAfterLoading;???;;20701;;0;0;0;0;??;0
AirBlowWaferCleaningModule.AirBlowDeviceFile.ChuckCleaningAfterUnLoading;30;ChuckCleaningAfterUnLoading;???;;20701;;0;0;0;0;??;0
AirBlowWaferCleaningModule.AirBlowDeviceFile.ChuckCleaningBeforeLoading;31;ChuckCleaningBeforeLoading;???;;20702;;0;0;0;0;??;0
AirBlowWaferCleaningModule.AirBlowDeviceFile.ChuckCleaningBeforeUnLoading;32;ChuckCleaningBeforeUnLoading;???;;20702;;0;0;0;0;??;0
AirBlowWaferCleaningModule.AirBlowDeviceFile.CleaningCount;33;CleaningCount;???;;20702;;0;0;0;0;??;0
AirBlowWaferCleaningModule.AirBlowDeviceFile.CleaningTime;34;CleaningTime;???;;20702;;0;0;0;0;??;0
AirBlowWaferCleaningModule.AirBlowDeviceFile.TargetTemp;35;TargetTemp;???;;20702;;0;0;0;0;??;0
AirBlowWaferCleaningModule.AirBlowDeviceFile.TempOffsetLimit;36;TempOffsetLimit;???;;20702;;0;0;0;0;??;0
AirCoolingModule.AirCoolingDeviceFile.AirActivatingTime;37;AirActivatingTime;UNKNOWN;;;;0;0;0;0;AirActivatingTime;0
AirCoolingModule.AirCoolingDeviceFile.AirCoolingEnable;38;AirCoolingEnable;UNKNOWN;;;;0;0;0;0;AirCoolingEnable;0
AirCoolingModule.AirCoolingDeviceFile.AirDeActivatingTime;39;AirDeActivatingTime;UNKNOWN;;;;0;0;0;0;AirDeActivatingTime;0
AirCoolingModule.AirCoolingDeviceFile.TargetTemp;40;TargetTemp;UNKNOWN;;;;0;0;0;0;TargetTemp;0
AutoTiltModule.AutoTiltDeviceFile.PinAdjustEnable;41;?? ?? ?? ??/??;???;;98;;0;0;0;0;?? ?? ?? ??? ??? ? ? ? ?????. (ON/OFF);0
AutoTiltModule.AutoTiltDeviceFile.TiltIntPlaneMinMaxtol;42;TiltIntPlaneMinMaxtol;???;;98;micron;0;200;0;0;?? ??;0
AutoTiltModule.AutoTiltDeviceFile.TiltSkipAreaRatioX;43;TiltSkipAreaRatioX;UNKNOWN;;;;0;0;0;0;TiltSkipAreaRatioX;0
AutoTiltModule.AutoTiltDeviceFile.TiltSkipAreaRatioY;44;TiltSkipAreaRatioY;UNKNOWN;;;;0;0;0;0;TiltSkipAreaRatioY;0
BinManager.BinDeviceParam.BinInfos;1641;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.AddedPCDetectEXSensorOnPlate;20003147;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
CardChangeModule.CardChangeDevParam.BlTubSynqNetControl;20003149;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
