PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID
LoaderSupervisor.LoaderPIV.FoupNumber;30000036;FoupNumber;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1035
LoaderSupervisor.LoaderPIV.FoupState;30000037;FoupState;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1036
LoaderSupervisor.LoaderPIV.ListOfSlot;30000039;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1141
LoaderSupervisor.LoaderPIV.ListOfStages;30000038;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1140
LoaderSupervisor.LoaderPIV.LotID;30000040;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1520
StageSupervisor.MarkObject.AlignState;7;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.MarkObject.MarkSetupChangedToggle;8;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.ProbeCard.AlignState;4;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.ProbeCard.PinSetupChangedToggle;6;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.ProbeCard.ProbeCardChangedToggle;5;EMPTY;EMPTY;C2,D896;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.ProbeCard.ProbeCardID;30000012;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.StagePIV.CleaningTouchDownCount;30000034;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1105
StageSupervisor.StagePIV.CurTemperature;30000030;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;30851
StageSupervisor.StagePIV.DevDownResult;30000035;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1037
StageSupervisor.StagePIV.LoadFoupNumber;30000026;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1035
StageSupervisor.StagePIV.LotID;30000019;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1520
StageSupervisor.StagePIV.PreHeatState;30000018;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1091
StageSupervisor.StagePIV.ProbeCardID;30000022;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1063
StageSupervisor.StagePIV.RecipeID;30000023;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;30098
StageSupervisor.StagePIV.SetTemperature;30000031;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1022
StageSupervisor.StagePIV.SlotNumber;30000024;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1508
StageSupervisor.StagePIV.StageNumber;30000016;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1090
StageSupervisor.StagePIV.StageState;30000017;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1091
StageSupervisor.StagePIV.WaferID;30000021;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1503
StageSupervisor.StagePIV.XCoordinate;30000032;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1595
StageSupervisor.StagePIV.YCoordinate;30000033;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;1596
StageSupervisor.WaferObject.AlignState;3;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.WaferObject.PadSetupChangedToggle;2;EMPTY;EMPTY;C6,C4;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.WaferObject.PolishWaferInfo.DefineName;9;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.WaferObject.PolishWaferInfo.IdentificationColorBrush;30000010;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.WaferObject.PolishWaferInfo.Margin;14;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.WaferObject.PolishWaferInfo.MaxLimitCount;10;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.WaferObject.PolishWaferInfo.Thickness;19;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.WaferObject.PolishWaferInfo.TouchCount;11;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
StageSupervisor.WaferObject.WaferAlignSetupChangedToggle;1;EMPTY;EMPTY;C2;EMPTY;EMPTY;0;0;100;100;EMPTY;0
TempController.TemperatureInfo.CurTemp;30000001;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
TempController.TemperatureInfo.PreSetTemp;30000002;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
