PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID
AirBlowChuckCleaningModule.AirBlowDeviceFile.AirBlowCleaningEnable;1;????어 블로????리??기능 켜기/??기;??????;125;;0;0;0;0;100;;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.AirBlowTempControlEnable;2;AirBlowTempControlEnable;UNKNOWN;;;;0;0;0;0;AirBlowTempControlEnable;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.CheckTempInjuryTimeOfSeconds;3;CheckTempInjuryTimeOfSeconds;??????;;mSec;0;0;0;0;100;;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.CheckTempTimeofSeconds;4;CheckTempTimeofSeconds;UNKNOWN;;;;0;0;0;0;CheckTempTimeofSeconds;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.ChuckCleaningAfterLoading;5;ChuckCleaningAfterLoading;UNKNOWN;;;;0;0;0;0;ChuckCleaningAfterLoading;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.ChuckCleaningAfterUnLoading;6;ChuckCleaningAfterUnLoading;UNKNOWN;;;;0;0;0;0;ChuckCleaningAfterUnLoading;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.ChuckCleaningBeforeLoading;7;ChuckCleaningBeforeLoading;UNKNOWN;;;;0;0;0;0;ChuckCleaningBeforeLoading;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.ChuckCleaningBeforeUnLoading;8;ChuckCleaningBeforeUnLoading;UNKNOWN;;;;0;0;0;0;ChuckCleaningBeforeUnLoading;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.CleaningCount;9;??어 블로????리????작 반복 ??수;??????;125;Frequency;1;100;0;0;100;;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.CleaningTime;10;CleaningTime;??????;20700;;0;0;0;0;100;;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.TargetTemp;11;TargetTemp;??????;20700;;0;0;0;0;100;;0
AirBlowChuckCleaningModule.AirBlowDeviceFile.TempOffsetLimit;12;TempOffsetLimit;??????;20700;;0;0;0;0;100;;0
AirBlowTempControlModule.AirBlowDeviceFile.AirBlowCleaningEnable;13;AirBlowCleaningEnable;??????;20700;;0;0;0;0;100;;0
AirBlowTempControlModule.AirBlowDeviceFile.AirBlowTempControlEnable;14;AirBlowTempControlEnable;??????;20700;;0;0;0;0;100;;0
AirBlowTempControlModule.AirBlowDeviceFile.CheckTempInjuryTimeOfSeconds;15;CheckTempInjuryTimeOfSeconds;??????;20700;;0;0;0;0;100;;0
