PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID
AirBlowChuckCleaningModule.AirBlowSystemFile.AirBlowAcc;1;AirBlowAcc;UNKNOWN;;20006;;0;0;0;0;AirBlowAcc;0
AirBlowChuckCleaningModule.AirBlowSystemFile.AirBlowCleaningType;2;AirBlowCleaningType;UNKNOWN;;20006;;0;0;0;0;AirBlowCleaningType;0
AirBlowChuckCleaningModule.AirBlowSystemFile.AirBlowOnProber;3;AirBlowOnProber;UNKNOWN;;20006;;0;0;0;0;AirBlowOnProber;0
AirBlowChuckCleaningModule.AirBlowSystemFile.AirBlowSpeed;4;AirBlowSpeed;UNKNOWN;;20006;;0;0;0;0;AirBlowSpeed;0
AirBlowChuckCleaningModule.AirBlowSystemFile.CleaningDistance;5;CleaningDistance;UNKNOWN;;20006;;0;0;0;0;CleaningDistance;0
AirBlowChuckCleaningModule.AirBlowSystemFile.StartPos.T;6;T;UNKNOWN;;20006;;0;0;0;0;T;0
AirBlowChuckCleaningModule.AirBlowSystemFile.StartPos.X;7;X;UNKNOWN;;20006;;0;0;0;0;X;0
AirBlowChuckCleaningModule.AirBlowSystemFile.StartPos.Y;8;Y;UNKNOWN;;20006;;0;0;0;0;Y;0
AirBlowChuckCleaningModule.AirBlowSystemFile.StartPos.Z;9;Z;UNKNOWN;;20006;;0;0;0;0;Z;0
AirBlowTempControlModule.AirBlowSystemFile.AirBlowAcc;10;AirBlowAcc;UNKNOWN;;20006;;0;0;0;0;AirBlowAcc;0
AirBlowTempControlModule.AirBlowSystemFile.AirBlowCleaningType;11;AirBlowCleaningType;UNKNOWN;;20006;;0;0;0;0;AirBlowCleaningType;0
AirBlowTempControlModule.AirBlowSystemFile.AirBlowOnProber;12;AirBlowOnProber;UNKNOWN;;20006;;0;0;0;0;AirBlowOnProber;0
