PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID;
AirBlowChuckCleaningModule.AirBlowDeviceFile.AirBlowCleaningEnable;1;척 에어 블로우 클리닝 기능 켜기/끄기;유준호;;125;;0;0;0;0;에어 블로우 기능을 사용할 지 말 지 결정합니다 (ON/OFF);;
AirBlowChuckCleaningModule.AirBlowDeviceFile.AirBlowTempControlEnable;2;AirBlowTempControlEnable;UNKNOWN;;;;0;0;0;0;AirBlowTempControlEnable;;
AirBlowChuckCleaningModule.AirBlowDeviceFile.CheckTempInjuryTimeOfSeconds;3;CheckTempInjuryTimeOfSeconds;유준호;;;mSec;0;0;0;0;의미 불명;;
AirBlowChuckCleaningModule.AirBlowDeviceFile.CheckTempTimeofSeconds;4;CheckTempTimeofSeconds;UNKNOWN;;;;0;0;0;0;CheckTempTimeofSeconds;;
AirBlowChuckCleaningModule.AirBlowDeviceFile.ChuckCleaningAfterLoading;5;ChuckCleaningAfterLoading;UNKNOWN;;;;0;0;0;0;ChuckCleaningAfterLoading;;
AirBlowChuckCleaningModule.AirBlowDeviceFile.ChuckCleaningAfterUnLoading;6;ChuckCleaningAfterUnLoading;UNKNOWN;;;;0;0;0;0;ChuckCleaningAfterUnLoading;;
AirBlowChuckCleaningModule.AirBlowDeviceFile.ChuckCleaningBeforeLoading;7;ChuckCleaningBeforeLoading;UNKNOWN;;;;0;0;0;0;ChuckCleaningBeforeLoading;;
AirBlowChuckCleaningModule.AirBlowDeviceFile.ChuckCleaningBeforeUnLoading;8;ChuckCleaningBeforeUnLoading;UNKNOWN;;;;0;0;0;0;ChuckCleaningBeforeUnLoading;;
AirBlowChuckCleaningModule.AirBlowDeviceFile.CleaningCount;9;에어 블로우 클리닝 동작 반복 횟수;유준호;;125;Frequency;1;100;0;0;에어 블로우를 사용해서 클리닝 동작이 수행될 때 클리닝 동작 사이클의 반복 휫수를 설정합니다.;;
AirBlowChuckCleaningModule.AirBlowDeviceFile.CleaningTime;10;CleaningTime;유준호;;20700;;0;0;0;0;매뉴얼 블로우 동작에는 파라미터 필요 없음;;
AirBlowChuckCleaningModule.AirBlowDeviceFile.TargetTemp;11;TargetTemp;유준호;;20700;;0;0;0;0;매뉴얼 블로우 동작에는 파라미터 필요 없음;;
AirBlowChuckCleaningModule.AirBlowDeviceFile.TempOffsetLimit;12;TempOffsetLimit;유준호;;20700;;0;0;0;0;매뉴얼 블로우 동작에는 파라미터 필요 없음;;
AirBlowTempControlModule.AirBlowDeviceFile.AirBlowCleaningEnable;13;AirBlowCleaningEnable;유준호;;20700;;0;0;0;0;중복;;
AirBlowTempControlModule.AirBlowDeviceFile.AirBlowTempControlEnable;14;AirBlowTempControlEnable;유준호;;20700;;0;0;0;0;중복;;
AirBlowTempControlModule.AirBlowDeviceFile.CheckTempInjuryTimeOfSeconds;15;CheckTempInjuryTimeOfSeconds;유준호;;20700;;0;0;0;0;중복;;
AirBlowTempControlModule.AirBlowDeviceFile.CheckTempTimeofSeconds;16;CheckTempTimeofSeconds;유준호;;20700;;0;0;0;0;중복;;
AirBlowTempControlModule.AirBlowDeviceFile.ChuckCleaningAfterLoading;17;ChuckCleaningAfterLoading;유준호;;20700;;0;0;0;0;중복;;
AirBlowTempControlModule.AirBlowDeviceFile.ChuckCleaningAfterUnLoading;18;ChuckCleaningAfterUnLoading;유준호;;20700;;0;0;0;0;중복;;
AirBlowTempControlModule.AirBlowDeviceFile.ChuckCleaningBeforeLoading;19;ChuckCleaningBeforeLoading;유준호;;20700;;0;0;0;0;중복;;
AirBlowTempControlModule.AirBlowDeviceFile.ChuckCleaningBeforeUnLoading;20;ChuckCleaningBeforeUnLoading;유준호;;20700;;0;0;0;0;중복;;
AirBlowTempControlModule.AirBlowDeviceFile.CleaningCount;21;CleaningCount;유준호;;20700;;0;0;0;0;중복;;
AirBlowTempControlModule.AirBlowDeviceFile.CleaningTime;22;CleaningTime;유준호;;20700;;0;0;0;0;중복;;
AirBlowTempControlModule.AirBlowDeviceFile.TargetTemp;23;TargetTemp;유준호;;20701;;0;0;0;0;중복;;
AirBlowTempControlModule.AirBlowDeviceFile.TempOffsetLimit;24;TempOffsetLimit;유준호;;20701;;0;0;0;0;중복;;
