No,EventCodeEnum,Value,Used,Notify,Description
1,UNDEFINED,0x00000000,,,
2,NONE,0x00000001,,,
3,UNKNOWN_EXCEPTION,0x00000002,,,
4,INVALID_CAMERA_CHANNEL,0x00000003,,,
5,IO_DEV_CONN_ERROR,0x00000100,,,
6,IO_DEV_LIB_ERROR,0x00000110,,,
7,IO_PORT_ERROR,0x00000120,,,
8,IO_TIMEOUT_ERROR,0x00000130,,,
9,IO_PARAM_ERROR,0x00000140,,,
10,IO_NOT_MATCHED,0x00000141,,,
11,PARAM_ERROR,0x00001000,,,
12,NOT_EXIST_DEVICE,0x00001001,,,
13,WAFER_SKIP,0x00001011,,,
14,PARAM_INSUFFICIENT,0x00001012,,,
15,SAVE_PARAM,0x00001013,,,
16,DUPLICATE_INVOCATION,0x00001014,,,
17,EXCEPTION,0x00001015,,,
18,GP_CARD_STUCK,0x00001016,,,
19,WAFER_SIZE_ERROR,0x00001017,,,
20,SYSTEM_FILE_MISSING,0x00001018,,,
21,HARD_DISK_FULL,0x00001019,,,
22,DIRECTORY_PATH_ERROR,0x0000101A,,,
23,INVALID_PARAMETER_FIND,0x0000101B,,,
24,DEVICE_CHANGE_FAIL,0x0000101C,,O,
25,PROXY_STATE_NOT_OPEN_ERROR,0x0000101D,,,
26,PAUSED_BY_OTHERS,0x0000101E,,,
27,TRANSFER_ALREADY_EXIST_ON_CHUCK,0x0000101F,,,
28,PARAM_SET_EQUAL_VALUE,0x00001020,,,
29,PARAM_SET_INVALID_OUT_OF_RANGE,0x00001021,,,
30,STATE_TRANSITION_OK,0x00001022,,,
31,STATE_TRANSITION_SKIP,0x00001023,,,
32,ERROR_END,0x00001024,,,
33,BEHAVIOR_END,0x00001025,,,
34,CHECK_FOUP_MODE_DISABLE,0x00001026,,,
35,TRASNFER_TARGET_INVALID,0x00001027,,,
36,STAGE_DISCONNECTED,0x00001028,,,
37,INVALID_ACCESS,0x00001029,,,
38,VISION_SAVEIMAGE_ERROR,0x00001800,,,
39,GRAB_USER_CANCEL,0x00001850,,,
40,DLL_NOT_FOUND,0x00001900,,,
41,WAFER_CHANGE_AUTOFEED_ERROR_BOTH_ARMS_UNAVAILABLE,0x00002800,,,
42,WAFER_CHANGE_AUTOFEED_ERROR_SAME_MODULE_DEFINITION,0x00002801,,,
43,WAFER_CHANGE_AUTOFEED_ERROR_ALL_PA_UNAVAILABLE,0x00002802,,,
44,WAFER_CHANGE_AUTOFEED_LOADPORT_SCAN_STATE_FAILURE,0x00002803,,,
45,WAFER_CHANGE_AUTOFEED_FIXEDTRAY_NOT_AVAILABLE,0x00002804,,,
46,WAFER_CHANGE_AUTOFEED_WAFER_DUPLICATION_FAILURE,0x00002805,,,
47,WAFER_CHANGE_AUTOFEED_WAFER_ANOTHER_MODULE,0x00002806,,,
48,WAFER_CHANGE_AUTOFEED_FIXEDTRAY_NOT_ASSIGN_POLISH_TYPE,0x00002807,,,
49,WAFER_CHANGE_AUTOFEED_VALIDATION_FAULURE,0x00002808,,,
50,WAFER_CHANGE_AUTOFEED_LOADER_HANDLING_ERROR,0x00002809,,,
51,WAFER_CHANGE_AUTOFEED_LOCATION_WAFER_STATUS_NOT_EXIST,0x00002810,,,
52,WAFER_CHANGE_AUTOFEED_WAFER_ASSIGNED_TO_LOT,0x00002811,,,
